so2Grade,coFlag,khaiValue,so2Value,coValue,pm25Flag,pm10Flag,o3Grade,pm10Value,khaiGrade,pm25Value,sidoName,no2Flag,no2Grade,o3Flag,pm25Grade,so2Flag,dataTime,coGrade,no2Value,stationName,pm10Grade,o3Value
1,,81,0.002,0.2,,,2,21,2,9,강원,,1,,1,,2026-04-24 16:00,1,0.004,갈말읍,1,0.067
1,,73,0.002,0.2,,,2,7,2,4,강원,,1,,1,,2026-04-24 16:00,1,0.004,홍천읍,1,0.058
1,,75,0.002,0.2,,,2,17,2,5,강원,,1,,1,,2026-04-24 16:00,1,0.005,영월읍,1,0.059
1,,71,0.002,0.2,,,2,18,2,12,강원,,1,,1,,2026-04-24 16:00,1,0.003,화천읍,1,0.054
1,,67,0.002,0.4,,,2,18,2,2,강원,,1,,1,,2026-04-24 16:00,1,0.004,황지동,1,0.049
1,,68,0.002,0.2,,,2,18,2,1,강원,,1,,1,,2026-04-24 16:00,1,0.005,인제읍,1,0.051
1,,75,0.002,0.2,,,2,17,2,3,강원,,1,,1,,2026-04-24 16:00,1,0.004,우천면,1,0.060
1,,79,0.004,0.3,,,2,18,2,3,충북,,1,,1,,2026-04-24 16:00,1,0.010,호암동,1,0.064
1,,78,0.003,0.4,,,2,11,2,8,충북,,1,,1,,2026-04-24 16:00,1,0.011,칠금동,1,0.063
1,,77,0.002,0.3,,,2,16,2,3,충북,,1,,1,,2026-04-24 16:00,1,0.012,중앙탑면,1,0.062
,통신장애,-,-,-,,,,11,,6,충북,통신장애,,통신장애,1,통신장애,2026-04-24 16:00,,-,살미면,1,-
1,,76,0.002,0.2,,,2,13,2,2,충북,,1,,1,,2026-04-24 16:00,1,0.003,장락동,1,0.060
1,,75,0.002,0.3,,,2,7,2,6,충북,,1,,1,,2026-04-24 16:00,1,0.005,영천동,1,0.060
1,,75,0.002,0.3,,,2,17,2,2,충북,,1,,1,,2026-04-24 16:00,1,0.005,청풍면,1,0.060
1,,77,0.003,0.4,,,2,18,2,6,충북,,1,,1,,2026-04-24 16:00,1,0.019,송학면,1,0.061
1,,79,0.002,0.2,,,2,12,2,9,충북,,1,,1,,2026-04-24 16:00,1,0.008,오창읍,1,0.064
1,,79,0.002,0.3,,,2,16,2,5,충북,,1,,1,,2026-04-24 16:00,1,0.006,산남동,1,0.064
1,,81,0.002,0.4,,,2,17,2,6,충북,,1,,1,,2026-04-24 16:00,1,0.008,오송읍,1,0.067
1,,-,0.002,0.3,통신장애,,2,13,,-,충북,,1,,,,2026-04-24 16:00,1,0.005,가덕면,1,0.064
